,auc_fold1,auc_fold2,auc_fold3,auc_mean,acc_fold1,acc_fold2,acc_fold3,acc_mean,f1_fold1,f1_fold2,f1_fold3,f1_mean
CE_D_Sub_resnet50_ur1.0_me300_lr_1e-05_decay_1e-05_aug_pin_bsz_8_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9869866666666668,0,0,0.3289955555555556,0.9,0,0,0.3,0.8484848484848485,0,0,0.2828282828282828
CE_D_Sub_resnet50_ur1.0_me50_lr_0.0001_decay_0.0_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9874133333333334,0,0,0.3291377777777778,0.925,0,0,0.30833333333333335,0.896551724137931,0,0,0.2988505747126437
CE_D_Sub_resnet50_ur1.0_me50_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9822933333333332,0,0,0.32743111111111106,0.895,0,0,0.29833333333333334,0.8551724137931035,0,0,0.2850574712643678
Joint_CE_D_Sub_resnet50_ur0.1_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_balanced_whole_data_cosine_,0.9221333333333332,0,0,0.30737777777777775,0.87,0,0,0.29,0.8311688311688312,0,0,0.27705627705627706
Joint_CE_D_Sub_resnet50_ur0.3_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_balanced_whole_data_cosine_,0.9877866666666668,0,0,0.3292622222222223,0.945,0,0,0.315,0.9251700680272108,0,0,0.30839002267573695
Joint_CE_D_Sub_resnet50_ur0.5_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_balanced_whole_data_cosine_,0.99808,0,0,0.33269333333333334,0.98,0,0,0.32666666666666666,0.9729729729729728,0,0,0.3243243243243243
Joint_CE_D_Sub_resnet50_ur1.0_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_balanced_whole_data_cosine_,0.9988266666666664,0,0,0.33294222222222214,0.98,0,0,0.32666666666666666,0.9729729729729728,0,0,0.3243243243243243
Joint_Con_D_Sub_resnet50_ur0.1_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_balanced_whole_data_cosine_,0.9488,0,0,0.31626666666666664,0.905,0,0,0.3016666666666667,0.8774193548387097,0,0,0.2924731182795699
Joint_Con_D_Sub_resnet50_ur0.3_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_balanced_whole_data_cosine_,0.98976,0,0,0.32992,0.935,0,0,0.3116666666666667,0.9103448275862068,0,0,0.30344827586206896
Joint_Con_D_Sub_resnet50_ur0.5_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_balanced_whole_data_cosine_,0.99904,0,0,0.33301333333333333,0.97,0,0,0.3233333333333333,0.9583333333333334,0,0,0.3194444444444445
Joint_Con_D_Sub_resnet50_ur1.0_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_balanced_whole_data_cosine_,0.9969066666666666,0,0,0.3323022222222222,0.98,0,0,0.32666666666666666,0.9729729729729728,0,0,0.3243243243243243
